MATCHNO,TEAMA,TEAMB,SCOREA,SCOREB,OVA,OVB,RESULT,WIN_BY,DATE,HREF
FINALS,Alchemist,Resonance,156/9,150/8,20,20,Alchemist,6 RUNS,16/03/2025,https://cricheroes.com/scorecard/15925040/iiser-premier-league-2025/alchemist-vs-resonance/summary
SEMIFINALS,Furious XI (2025),Resonance,130/10,131/3,19.2,18.4,Resonance,7 WICKETS,15/03/2025,https://cricheroes.com/scorecard/15899944/iiser-premier-league-2025/furious-xi(2025)-vs-resonance/summary
SEMIFINALS,Maratha Warriors,Alchemist,104/10,106/5,19.2,13.1,Alchemist,5 WICKETS,15/03/2025,https://cricheroes.com/scorecard/15895539/iiser-premier-league-2025/maratha-warriors-vs-alchemist/summary
QUATERFINALS,Furious XI (2025),Strong Wall,211/4,61/10,16,11,Furious XI (2025),150 RUNS,09/03/2025,https://cricheroes.com/scorecard/15795350/iiser-premier-league-2025/alchemist-vs-dadagiri/live
QUATERFINALS,Alchemist,Dadagiri,161/6,132/7,16,16,Alchemist,29 RUNS,09/03/2025,https://cricheroes.com/scorecard/15795350/iiser-premier-league-2025/alchemist-vs-dadagiri/live
QUATERFINALS,Admin XI,Resonance,114/6,115/3,16,11.2,Resonance,7 WICKETS,09/03/2025,https://cricheroes.com/scorecard/15787800/iiser-premier-league-2025/admin-xi-vs-resonance/live
QUATERFINALS,Maratha Warriors,Gardening Team,98/6,82/10,16,14.4,Maratha Warriors,16 RUNS,08/03/2025,https://cricheroes.com/scorecard/15745465/iiser-premier-league-2025/smashers-2025-vs-zeher/live
60,Smashers 2025,Zeher,80/8,84/8,12,10.5,Zeher,2 WICKETS,07/03/2025,https://cricheroes.com/scorecard/15745465/iiser-premier-league-2025/smashers-2025-vs-zeher/live
59,Clutchers,Tectonics,65/5,66/4,12,8.5,Tectonics,6 WICKETS,02/03/2025,https://cricheroes.com/scorecard/15679799/iiser-premier-league-2025/clutchers-vs-tectonics/summary
58,Resonance,MightyChondria,128/6,76/10,12,12,Resonance,52 RUNS,02/03/2025,https://cricheroes.com/scorecard/15676614/iiser-premier-league-2025/resonance-vs-mightychondria/summary
57,Faculty 11,Maratha Warriors,88/7,89/6,12,12,Maratha Warriors,4 WICKETS,02/03/2025,https://cricheroes.com/scorecard/15671617/iiser-premier-league-2025/faculty-11-vs-maratha-warriors/live
56,Admin XI,Dadagiri,93/7,82/10,12,11.4,Admin XI,11 RUNS,02/03/2025,https://cricheroes.com/scorecard/15664927/iiser-premier-league-2025/admin-xi-vs-dadagiri/live
55,H-Cross,LKG XI,79/4,82/2,12,9,LKG XI,8 WICKETS,02/03/2025,https://cricheroes.com/scorecard/15660505/iiser-premier-league-2025/h-cross-vs-lkg-xi/live
54,Saandpapers,Dadagiri,73/6,76/3,12,10.3,Dadagiri,7 WICKETS,01/03/2025,https://cricheroes.com/scorecard/15643034/iiser-premier-league-2025/saandpapers-vs-dadagiri/live
53,Maratha Warriors,Bioharzard,88/7,74/10,12,10.3,Maratha Warriors,14 RUNS,01/03/2025,https://cricheroes.com/scorecard/15638945/iiser-premier-league-2025/maratha-warriors-vs-biohazard/live
52,Tectonics,Saandpapers,80/3,83/1,12,7,Saandpapers,9 WICKETS,28/02/2025,https://cricheroes.com/scorecard/15621231/iiser-premier-league-2025/tectonics-vs-saandpapers/live
51,EigenVictors,The Mambas,77/8,78/5,12,11.5,The Mambas,5 WICKETS,28/02/2025,https://cricheroes.com/scorecard/15619047/iiser-premier-league-2025/eigenvictors-vs-the-mambas/live
50,Faculty 11,EigenVictors,143/2,70/10,12,11.4,Faculty 11,73 RUNS,16/02/2025,https://cricheroes.com/scorecard/15378012/iiser-premier-league-2025/faculty-11-vs-eigenvictors/live
49,Tech Stars,Alchemist,88/7,89/8,12,11.1,Alchemist,2 WICKETS,16/02/2025,https://cricheroes.com/scorecard/15369972/iiser-premier-league-2025/tech-stars-vs-alchemist/live
48,Smashers 2025,Gardening Team,53/10,54/1,12,6.5,Gardening Team,9 WICKETS,15/02/2025,https://cricheroes.com/scorecard/15339429/iiser-premier-league-2025/smashers-2025-vs-gardening-team/live
47,Admin XI,Tectonics,134/6,85/7,12,12,Admin XI,49 RUNS,15/02/2025,https://cricheroes.com/scorecard/15334651/iiser-premier-league-2025/admin-xi-vs-tectonics/live
46,H-Cross,MightyChondria,60/6,61/2,12,3.4,MightyChrondria,8 WICKETS,15/02/2025,https://cricheroes.com/scorecard/15331702/iiser-premier-league-2025/h-cross-vs-mightychondria/live
45,H-1,Tectonics,101/9,78/10,12,11.5,H-1,23 RUNS,14/02/2025,https://cricheroes.com/scorecard/15319058/iiser-premier-league-2025/h-1-vs-tectonics/live
44,Gardening Team,Strong Wall,92/9,54/10,12,11.5,Gardening Team,38 RUNS,14/02/2025,https://cricheroes.com/scorecard/15316189/iiser-premier-league-2025/gardening-team-vs-strong-wall/live
43,MightChondria,LKG XI,99/9,100/7,12,11.3,LKG XI,3 WICKETS,09/02/2025,https://cricheroes.com/scorecard/15236862/iiser-premier-league-2025/mightychondria-vs-lkg-xi/live
42,Strong Wall,Baddies Daddies,189/4,69/10,12,10.5,Strong Wall,120 RUNS,09/02/2025,https://cricheroes.com/scorecard/15231692/iiser-premier-league-2025/strong-wall-vs-baddies-daddies/live
41,Faculty 11,Furious XI (2025),96/3,85/10,12,11.5,Faculty 11,11 RUNS,09/02/2025,https://cricheroes.com/scorecard/15225789/iiser-premier-league-2025/faculty-11-vs-furious-xi(2025)/live
40,The Mambas,Bioharzard,80/6,81/2,12,8.3,Biohazard,8 WICKETS,09/02/2025,https://cricheroes.com/scorecard/15217457/iiser-premier-league-2025/the-mambas-vs-biohazard/live
39,Beta Smashers,Baddies Daddies,97/5,96/5,12,12,Beta Smashers,1 RUN,08/02/2025,https://cricheroes.com/scorecard/15190698/iiser-premier-league-2025/beta-smashers-vs-baddies-daddies/live
38,Admin XI,Saandpapers,97/7,99/2,12,10.3,Saandpapers,8 WICKETS,08/02/2025,https://cricheroes.com/scorecard/15190649/iiser-premier-league-2025/admin-xi-vs-saandpapers/live
37,Strong Wall,Beta Smashers,142/8,71/9,12,12,Strong Wall,71 RUNS,08/02/2025,https://cricheroes.com/scorecard/15187106/iiser-premier-league-2025/strong-wall-vs-beta-smashers/live
